Fecha,Unidad,Total Viajes,Total Vueltas,Km Programados,Km Vacios,Km Realizados
01/05/2022,AM-088    ,1470,735,7017,321,6696
01/05/2022,AM-089    ,1592,796,6728,361,6367
01/05/2022,AM-09     ,522,261,10475,2381,8094
01/05/2022,AM-090    ,1453,726.5,7159,578,6581
01/05/2022,AM-091    ,733,366.5,6604,946,5658
01/05/2022,AM-092    ,398,199,6242,1408,4834
01/05/2022,AM-093    ,308,154,6232,1480,4752
01/05/2022,AM-094    ,290,145,6181,1830,4351
01/05/2022,AM-095    ,216,108,4643,1470,3173
01/05/2022,AM-096    ,196,98,4077,1318,2759
01/05/2022,AM-097    ,206,103,4261,1124,3137
01/05/2022,AM-098    ,100,50,2148,840,1308
01/05/2022,AM-099    ,66,33,1315,344,971
01/05/2022,AM-10     ,601,300.5,9903,1467,8436
01/05/2022,AM-100    ,120,60,1026,68,958
01/05/2022,AM-101    ,34,17,652,180,472
01/05/2022,AM-102    ,30,15,554,134,420
01/05/2022,AM-103    ,27,13.5,267,7,260
01/05/2022,AM-11     ,580,290,11339,1846,9493
01/05/2022,AM-12     ,188,94,2420,260,2160
01/05/2022,AM-13     ,481,240.5,8760,1829,6931
01/05/2022,AM-14     ,448,224,6648,1168,5480
01/05/2022,AM-15     ,398,199,6021,1013,5008
01/05/2022,AM-16     ,457,228.5,6947,1212,5735
01/05/2022,AM-17     ,507,253.5,9766,1173,8593
01/05/2022,AM-18     ,526,263,10764,2100,8664
01/05/2022,AM-19     ,461,230.5,9617.55,2399.5,7218.05
01/05/2022,AM-20     ,490,245,7292,714,6578
01/05/2022,AM-21     ,495,247.5,9977,1560,8417
01/05/2022,AM-22     ,479,239.5,9556,1990,7566
01/05/2022,AM-23     ,417,208.5,8359,2051,6308
01/05/2022,AM-24     ,498,249,9946,1320,8626
01/05/2022,AM-25     ,368,184,7685,1890,5795
01/05/2022,AM-26     ,616,308,8454,650,7804
01/05/2022,AM-27     ,642,321,9018,672,8346
01/05/2022,AM-28     ,695,347.5,9722.81,644.6,9078.21
01/05/2022,AM-29     ,707,353.5,9930,653,9277
01/05/2022,AM-30     ,681,340.5,9546,908,8638
01/05/2022,AM-31     ,688,344,9758,932,8826
01/05/2022,AM-32     ,612,306,8568,714,7854
01/05/2022,AM-33     ,715,357.5,9951,856,9095
01/05/2022,AM-34     ,51,25.5,211,19,192
01/05/2022,AM-37     ,1281,640.5,5503,883,4620
01/05/2022,AM-38     ,1137,568.5,5066,745,4321
01/05/2022,AM-39     ,1153,576.5,4905,741,4164
01/05/2022,AM-40     ,1191,595.5,5293.24,760.4,4532.84
01/05/2022,AM-41     ,1662,831,6917,407,6510
01/05/2022,AM-42     ,1692,846,7205,352,6853
01/05/2022,AM-43     ,67,33.5,935,147,788
01/05/2022,AM-44     ,776,388,7773,249,7524
01/05/2022,AM-45     ,839,419.5,5737,374,5363
01/05/2022,AM-46     ,2130,1065,8917,274,8643
01/05/2022,AM-47     ,1798,899,7216,260,6956
01/05/2022,AM-48     ,1910,955,7760,368,7392
01/05/2022,AM-49     ,2014,1007,7160,84,7076
01/05/2022,AM-50     ,1934,967,6760,84,6676
01/05/2022,AM-51     ,1808,904,6542,84,6458
01/05/2022,AM-52     ,1686,843,6344,36,6308
01/05/2022,AM-53     ,1286,643,5254,144,5110
01/05/2022,AM-54     ,906,453,4530,0,4530
01/05/2022,AM-55     ,766,383,2778,0,2778
01/05/2022,AM-57     ,17,8.5,71,11,60
01/05/2022,AM-60     ,16,8,359,150,209
01/05/2022,AM-61     ,20,10,413,90,323
01/05/2022,AM-62     ,30,15,270,76,194
01/05/2022,AM-63     ,57,28.5,837,191,646
01/05/2022,AM-64     ,674,337,6676,833,5843
01/05/2022,AM-65     ,668,334,6908,869,6039
01/05/2022,AM-66     ,688,344,7073.2,832.72,6240.48
01/05/2022,AM-67     ,701,350.5,7115,768,6347
01/05/2022,TM-001    ,564,282,8964,100,8864
01/05/2022,TM-002    ,533,266.5,8436.8,100.8,8336
01/05/2022,TM-003    ,542,271,8640.8,0.8,8640
01/05/2022,TM-004    ,539,269.5,8544.8,80.8,8464
01/05/2022,TM-005    ,470,235,7520,0,7520
01/05/2022,TM-006    ,45,22.5,720,0,720
01/05/2022,TM-007    ,494,247,7904,0,7904
01/05/2022,TM-008    ,499,249.5,7984,32,7952
01/05/2022,TM-009    ,268,134,4288,0,4288
01/05/2022,TM-010    ,376,188,6004,36,5968
01/05/2022,TM-011    ,393,196.5,6282,10,6272
01/05/2022,TM-012    ,544,272,8704,0,8704
01/05/2022,TM-013    ,585,292.5,9360,0,9360
01/05/2022,TM-014    ,524,262,8378,74,8304
01/05/2022,TM-015    ,571,285.5,9118,46,9072
01/05/2022,TM-016    ,475,237.5,7588,20,7568
01/05/2022,TM-018    ,483,241.5,7722,10,7712
01/05/2022,TM-019    ,193,96.5,3088,0,3088
